r,q0,psi6_mean,psi6_std,psi2_mean,psi2_std,k_peak_mean,k_peak_std,n_unique_k,ring1_mean,broad_mean,n_seeds,k_ratio_mean,mode_entropy
0.1118,0.975,0.14922631768307354,0.08047023760084215,0.14602460110596385,0.08017132032327395,0.9733710442684379,0.005995475441604431,50,0.9867133695267363,0.01328663997275401,50,0.9983292761727568,3.9120230053781455
0.1118,0.976,0.15985812186230977,0.08385793171736504,0.14519935282051155,0.08529566089729357,0.9746227111627,0.0044671308973044735,50,0.9875590240270897,0.01244097401041961,50,0.9985888434044058,3.9120230053781455
0.1118,0.977,0.12452798942363241,0.06973268363551802,0.14910144674343093,0.07772596737924312,0.9760167815495866,0.004596227471336292,50,0.9872774185884294,0.012722586357893391,50,0.9989936351582258,3.9120230053781455
0.1118,0.978,0.13013256912880874,0.06980844226854964,0.14212638088935176,0.07572036795959787,0.9766326848140815,0.005047215414366482,50,0.987338675215356,0.012661327541758811,50,0.9986019272127623,3.9120230053781455
0.1118,0.979,0.14673915929013406,0.08872165429322733,0.1659156765176823,0.10673722929850714,0.9780300550596305,0.00437990765466762,50,0.9873689118817102,0.012631086849291054,50,0.9990092492948217,3.9120230053781455
0.1118,0.98,0.1296845539053844,0.06929215105389878,0.14930307196306208,0.06955234005512133,0.9782788114683219,0.004491019479326263,50,0.987048628662973,0.012951368991094048,50,0.998243685171757,3.9120230053781455
0.1118,0.981,0.1572348573165761,0.09209637767563601,0.15594682373338262,0.07454364185446997,0.9796512566575103,0.00469909586191251,50,0.9872120531499852,0.012787951292823528,50,0.9986251342074519,3.9120230053781455
0.1118,0.982,0.14554890248261226,0.08567723151185327,0.16459074111129593,0.08542811254002647,0.9807562063702636,0.0047794671278922575,50,0.9876522020137023,0.01234779430937352,50,0.9987334077090261,3.9120230053781455
0.1118,0.983,0.14669877499891995,0.08192853876855388,0.16614684888357437,0.08693426499394065,0.9816186545857483,0.004766781971742433,50,0.9878778386528931,0.012122161535171405,50,0.9985947656009647,3.9120230053781455
0.1119,0.96,0.17258302003715986,0.09267283439378865,0.17479988554166082,0.10089418049636104,0.9587091473618113,0.003872090876131797,50,0.9868205076461691,0.013179495623173004,50,0.9986553618352202,3.9120230053781455
